Column Index,Tread Depth (mm)
116,23.32
117,23.32
118,23.32
119,23.32
120,23.00827
121,23.00827
122,23.00827
123,23.00827
124,23.00827
125,23.00827
126,23.00827
127,23.00827
128,23.00827
129,23.00827
130,23.00827
131,23.00827
132,23.00827
133,23.00827
134,23.00827
135,23.00827
136,23.00827
137,23.00827
138,23.00827
139,23.00827
140,23.00827
141,23.00827
142,23.00827
143,23.00827
144,23.00827
145,23.00827
146,23.00827
147,23.00827
148,23.00827
149,23.00827
150,23.00827
151,23.00827
152,23.00827
153,23.00827
154,23.00827
155,23.00827
156,23.00827
157,23.00827
158,23.00827
159,23.00827
160,23.00827
161,23.00827
162,23.00827
163,20.8522
164,21.15742
165,21.15742
166,21.15742
167,21.15742
168,21.46357
169,21.46357
170,21.46357
171,21.46357
172,21.15742
173,21.15742
174,21.15742
175,21.15742
176,21.15742
177,21.15742
178,21.15742
179,21.15742
180,21.15742
181,19.94212
182,19.94212
183,19.94212
184,19.94212
185,19.94212
186,19.94212
187,19.94212
188,19.94212
189,19.94212
190,19.94212
191,19.94212
192,19.94212
193,19.94212
194,19.94212
195,19.94212
196,19.94212
197,19.94212
198,19.94212
199,19.94212
200,19.94212
201,19.94212
202,19.94212
203,19.94212
204,19.94212
205,19.94212
206,19.94212
207,19.94212
208,19.94212
209,19.94212
210,19.94212
211,19.94212
212,19.94212
213,19.94212
214,19.94212
215,19.94212
216,19.94212
217,19.94212
218,19.94212
219,19.94212
220,19.94212
221,19.94212
222,19.94212
223,19.94212
224,19.94212
225,19.94212
226,19.94212
227,19.94212
228,19.94212
229,19.94212
230,19.94212
231,19.94212
232,19.94212
233,19.94212
234,19.94212
235,19.94212
236,19.94212
237,19.94212
238,19.94212
239,19.94212
240,19.94212
241,19.94212
242,19.94212
243,19.94212
244,19.94212
245,19.94212
246,19.94212
247,19.94212
248,19.94212
249,19.94212
250,19.94212
251,19.94212
252,19.94212
253,19.94212
254,19.94212
255,19.94212
256,17.2621
257,17.2621
258,17.2621
259,16.96897
260,16.96897
261,16.96897
262,16.96897
263,16.96897
264,16.96897
265,16.96897
266,16.96897
267,16.96897
268,16.96897
269,16.96897
270,16.96897
271,16.96897
272,16.96897
273,16.96897
274,16.96897
275,16.96897
276,16.96897
277,16.96897
278,16.3855
279,16.3855
280,16.3855
281,16.3855
282,16.3855
283,16.67677
284,16.67677
285,16.67677
286,16.96897
287,16.96897
288,17.2621
289,17.2621
290,17.55616
291,17.85115
292,17.85115
293,18.14707
294,18.14707
295,18.44392
296,18.44392
297,18.44392
298,18.7417
299,18.7417
300,18.7417
301,18.7417
302,18.7417
303,18.7417
304,18.7417
305,18.7417
306,18.7417
307,18.7417
308,18.7417
309,18.7417
310,19.04041
311,19.04041
312,19.04041
313,19.04041
314,19.04041
315,19.04041
316,19.04041
317,18.7417
318,18.44392
319,18.44392
320,18.44392
321,18.44392
322,18.44392
323,18.44392
324,18.44392
325,18.44392
326,18.44392
327,18.44392
328,18.44392
329,18.44392
330,18.44392
331,14.65741
332,14.65741
333,14.65741
334,14.65741
335,14.65741
336,14.65741
337,14.65741
338,14.65741
339,14.65741
340,14.65741
341,14.65741
342,14.65741
343,14.65741
344,14.65741
345,14.37265
346,14.37265
347,14.37265
348,14.37265
349,14.37265
350,14.37265
351,14.37265
352,14.0888195
353,14.0888195
354,14.0888195
355,14.0888195
356,14.0888195
357,14.0888195
358,14.0888195
359,14.0888195
360,14.0888195
361,14.0888195
362,14.0888195
363,14.0888195
364,14.0888195
365,13.80592
366,13.80592
367,13.80592
368,13.80592
369,13.80592
370,13.80592
371,13.80592
372,13.80592
373,13.80592
374,13.80592
375,13.80592
376,13.80592
377,13.80592
378,13.80592
379,13.80592
380,13.80592
381,13.80592
382,13.52395
383,13.52395
384,13.52395
385,13.52395
386,13.52395
387,13.52395
388,13.52395
389,13.52395
390,13.242909
391,13.242909
392,13.242909
393,13.242909
394,13.242909
395,13.242909
396,13.242909
397,13.242909
398,13.242909
399,12.9628
400,12.9628
401,12.9628
402,12.9628
403,12.9628
404,12.9628
405,12.9628
406,12.9628
407,12.9628
408,12.9628
409,12.9628
410,12.9628
411,12.9628
412,12.9628
413,12.9628
414,12.9628
415,12.9628
416,12.9628
417,13.242909
418,10.438556
419,10.438556
420,10.438556
421,10.438556
422,10.08398
423,10.08398
424,10.08398
425,10.08398
426,9.730792
427,10.08398
428,10.08398
429,9.730792
430,9.730792
431,10.08398
432,10.08398
433,10.08398
434,10.08398
435,10.08398
436,9.730792
437,9.730792
438,9.378992
439,9.378992
440,9.378992
441,9.378992
442,9.378992
443,9.378992
444,9.02858
445,9.02858
446,9.378992
447,9.378992
448,9.378992
449,9.02858
450,9.02858
451,9.02858
452,9.02858
453,9.02858
454,9.02858
455,9.02858
456,9.02858
457,9.02858
458,9.02858
459,9.02858
460,9.02858
461,9.02858
462,9.02858
463,8.679556
464,8.679556
465,8.679556
466,8.679556
467,8.679556
468,8.679556
469,8.679556
470,8.679556
471,8.679556
472,8.679556
473,8.679556
474,8.33192
475,8.33192
476,8.33192
477,8.33192
